#{"t_start": 1762118954.1241758, "env_id": "None"}
r,l,t
-2.944284,40,7.288423
-4.147077,40,7.295123
23.210789,40,7.301868
-4.351237,40,7.308599
22.117507,40,7.315662
-17.408735,40,7.323686
22.810789,40,7.330698
-7.137323,40,7.337474
3.023975,40,7.344162
-3.73014,40,7.350931
-14.778725,40,7.357621
10.324561,40,7.364354
23.710789,40,7.371061
-0.186221,40,7.37772
-1.869731,40,7.384467
12.626198,40,7.391141
-4.603668,40,7.397834
12.324561,40,7.404521
11.826198,40,7.41121
25.017507,40,7.41785
10.524561,40,7.424533
10.424561,40,7.431219
21.717507,40,7.437879
11.024561,40,7.444665
12.424561,40,7.775424
-2.749093,40,7.782575
23.710789,40,7.789356
23.310789,40,7.796776
20.210789,40,7.804133
12.226198,40,7.811396
1.473466,40,7.81862
22.110789,40,7.825683
12.326198,40,7.832801
24.310789,40,7.840154
12.524561,40,7.847263
-2.253402,40,7.854205
13.424561,40,7.861062
11.024561,40,7.867799
-12.189102,40,7.874533
18.810789,40,7.881237
11.324561,40,7.887978
2.107193,40,7.894701
-33.301247,40,7.901367
4.007193,40,7.908091
-14.091551,40,7.914776
0.624287,40,7.921482
10.826198,40,7.928149
11.226198,40,7.934825
-37.57158,40,7.941504
2.507193,40,7.948452
-0.814397,40,7.9553
-0.027061,40,7.962606
24.517507,40,7.970562
12.124561,40,7.977625
23.617507,40,7.984412
12.824561,40,7.991142
-13.63517,40,7.997831
0.386253,40,8.004478
23.710789,40,8.011115
17.310789,40,8.017803
12.326198,40,8.024451
11.324561,40,8.031097
10.826198,40,8.037707
22.610789,40,8.044407
12.924561,40,8.051072
23.010789,40,8.057752
9.326198,40,8.064388
23.317507,40,8.071063
22.510789,40,8.07805
4.407193,40,8.084989
12.524561,40,8.091832
-31.402231,40,8.098659
16.117507,40,8.105494
22.410789,40,8.112313
23.010789,40,8.11916
20.317507,40,8.447108
20.917507,40,8.454266
-31.037363,40,8.461026
-0.517816,40,8.467772
-7.681071,40,8.47447
11.024561,40,8.481166
7.724561,40,8.487852
20.010789,40,8.494551
10.826198,40,8.501222
6.753395,40,8.507882
23.017507,40,8.514569
-7.123656,40,8.521259
-6.51663,40,8.527939
24.517507,40,8.53463
4.198765,40,8.541319
22.517507,40,8.547994
23.710789,40,8.554684
13.824561,40,8.561474
11.324561,40,8.568271
22.417507,40,8.57499
20.710789,40,8.581708
24.217507,40,8.588637
21.610789,40,8.595522
22.917507,40,8.602268
13.424561,40,8.609016
10.326198,40,8.615722
4.178338,40,8.622419
-31.081828,40,8.62908
-27.228001,40,8.635761
11.924561,40,8.642483
9.524561,40,8.649212
26.210789,40,8.655968
0.506165,40,8.662704
19.810789,40,8.66941
11.524561,40,8.676164
11.624561,40,8.682897
13.926198,40,8.689627
22.310789,40,8.696332
3.778338,40,8.703106
13.024561,40,8.710025
20.617507,40,8.716751
20.810789,40,8.72348
8.826198,40,8.73016
-0.762149,40,8.736883
23.310789,40,8.743579
24.710789,40,8.750285
-0.67913,40,8.756988
10.126198,40,8.763659
11.524561,40,8.770349
25.710789,40,8.777058
23.517507,40,8.7837
23.010789,40,9.113621
-32.330102,40,9.120952
12.126198,40,9.127853
24.617507,40,9.13463
11.824561,40,9.14146
12.524561,40,9.148212
23.310789,40,9.154896
0.09269,40,9.161624
-11.308478,40,9.168325
23.317507,40,9.175053
4.307193,40,9.181747
12.326198,40,9.188466
10.826198,40,9.195129
13.824561,40,9.201869
-2.749543,40,9.208558
23.510789,40,9.215261
-1.751366,40,9.222156
10.324561,40,9.229118
11.224561,40,9.235892
24.810789,40,9.242665
21.810789,40,9.249352
4.607193,40,9.256087
24.517507,40,9.262775
25.717507,40,9.269461
12.226198,40,9.276162
1.122277,40,9.282855
12.824561,40,9.289564
-8.873518,40,9.296189
-1.348086,40,9.302903
3.132311,40,9.309641
23.810789,40,9.31637
-2.756769,40,9.323063
-6.166726,40,9.329739
23.710789,40,9.336402
21.010789,40,9.343389
1.088254,40,9.350427
10.824561,40,9.357329
22.310789,40,9.364151
11.724561,40,9.370965
-0.253111,40,9.377725
20.710789,40,9.384478
11.524561,40,9.391277
8.826198,40,9.398026
13.226198,40,9.404769
12.824561,40,9.411523
10.624561,40,9.418241
24.217507,40,9.424951
23.710789,40,9.431756
3.707193,40,9.43853
24.910789,40,9.445283
-28.463425,40,9.452084
3.607193,40,9.786154
-4.28823,40,9.793647
-0.506069,40,9.801082
13.124561,40,9.808374
13.226198,40,9.815514
-4.165457,40,9.823123
-0.217278,40,9.830213
2.836697,40,9.837427
23.010789,40,9.844677
1.229545,40,9.851654
12.424561,40,9.858612
23.910789,40,9.865535
10.426198,40,9.872485
1.397405,40,9.879385
4.107193,40,9.88627
3.107193,40,9.893183
22.517507,40,9.900028
23.710789,40,9.907527
10.724561,40,9.915493
-28.14615,40,9.923305
23.517507,40,9.930509
23.017507,40,9.937903
20.810789,40,9.94477
